Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
Live Out Loud Youth Group,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.affirmativecounseling.net/liveoutloudyouthgroup.html,28 Renne Ave,,Pittsfield,MA,01201,Berkshire,413.358.5697,Kelly Heck,kellyheck@affirmativecounseling.net,,,LGBTQ youth,,,,"Come meet other Gay, Lesbian, Bisexual, Transgender, Questioning, and Allied youth in a safe, fun, supportive social setting.  Be a part of planning events for LGBT youth in your community.",,,,,,,,,,,,,,,,,,,,,,,
Lowell Community Health Center (Health Quarters),Health and Mental Health,Primary Care  Services,Screening and Testing,Sexual Health ,,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services  ,Medical Screening and Testing,,,,,"Community Prevention, Education and Outreach",,,http://www.healthq.org/,161 Jackson Street,Family Planning Department-2nd Floor,Lowell,MA,01852,Middlesex,978-446-0236,,info@healthq.org,,,LGBTQ youth,,,,"Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services.",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
Lowell Community Health Center LGBT Youth Group,Community Group,Government Entity,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.lchealth.org/support.shtml,161 Jackson Street,,Lowell,MA,01852,Middlesex,978-322-8521,,,,,LGBTQ youth,,,,"At Lowell Community Health Center our goal is to enrich patients' overall health and wellness by offering services and programs that take a holistic, or ""whole"" health approach. We seek to connect patients with information and skills for living a healthier lifestyle. ",,,,,,,,,,,,,,,,,,,,,,,
Lynn Community Health Center (Health Quarters),Health and Mental Health,Government Entity,Primary Care Services,Screening and Testing,Sexual Health,,Health Care,Diagnostics,,,,Primary Care Services,Other Health Care Provider Services ,Medical Screening and Testing,,,,,,,,http://www.healthq.org/,694 Western Avenue,,Lynn,MA,01905,Essex,781-593-1115,,info@healthq.org,,,LGBTQ youth,,,,"Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services.",,4/10/2014,,AD,,,,,,,,,,,,,,,,,,,
MA Commission on LGBTQ Youth,Community Group,Government Entity,Awareness and Advocacy,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,Capacity Building,,,http://www.mass.gov/cgly,250 Washington St,4th Floor,Boston,MA,02108,Suffolk,http://www.mass.gov/cgly,,617-624-5495,,,LGBTQ youth,,,,"The Massachusetts Commission on LGBT Youth is established by law as an independent agency of the Commonwealth to recommend and advocate to all branches of state government effective policies, programs, and resources for LGBT youth to thrive.",,,,,,,,,,,,,,,,,,,,,,,
MA Department of Public Health--Safe Spaces for GLBTQ Youth,Government Entity,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,Advocacy and Funding,,,http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/dvip/violence/safe-spaces.html,250 Washington St,4th Floor,Boston,MA,02108,Suffolk,(617) 624-5490,,steven.smyth@massmail.state.ma.us,,,LGBTQ youth,,,,"Safe Spaces for GLBT Youth is committed to providing opportunities for gay, lesbian, bisexual and transgender youth to develop their full potential in a safe and supportive environment.",,,,,,,,,,,,,,,,,,,,,,,
MAP for Health: Asian Pride,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.maphealth.org/programs/asian-pride/,322 Tremont Street,,Boston,MA,02116,Suffolk,(617) 426-6755,,map@maphealth.org,Andrea Machado,andrea@maphealth.org,LGBTQ youth,,,16-24,"This is a youth development and leadership program that provides services for lesbian, gay, bisexual, transgender, and queer (LGBTQ) youth of Asian and Pacific Islander descent",,,,,,,,,,,,,,,,,,,,,,,
Mason Square Neighbourhood Health,Health and Mental Health,Screening and Testing,Sexual Health,,,,Health Care,Diagnostics,,,,Primary Care Services,Other Health care Provider Services ,Medical Screening and Testing,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",Clicinical and Medical Diagnostics,Individual Primary Care Wellness,http://baystatehealth.com/Baystate/Main+Nav/About+Us/Locations/Baystate+Medical+Practices/Primary+Care/Mason+Square+Neighborhood+Health+Center,11 Wilbraham Road,,Springfield,MA,01109,Hampden,413-794-3710,,,,,Individuals infected/affected by HIV/AIDS,,,,"Baystate Health's charitable mission is to improve the health of the people in our communities every day, with quality and compassion.",,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Commission Against Discrimination,Legal Services,,,,,,Other Professional Services,,,,,Legal Services,,,,,,,Legal Protective Services,,,http://www.mass.gov/mcad/index.html,436 Dwight Street,Suite 315,Springfield,MA,01103,Hampden,413-739-2145,,,,,LGBTQ youth,,,,"Receives discrimination complaints regarding housing, education, public accommodation, employment, and hate crimes",,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Transgender Political Coalition,Community Group,Awareness and Advocacy,Cultural Competency Training,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,http://www.masstpc.org/,,,Boston,MA,02108,Suffolk,617-778-0519,,mailto:info@masstpc.org,,,LGBTQ youth,transgender youth,ally,,"Founded in 2001, the Massachusetts Transgender Political Coalition (MTPC) is dedicated to ending discrimination on the basis of gender identity and gender expression. We envision a world where persons of all genders are treated with respect and fully participate in all areas of society, free from fear of prohibition, harassment or violence based on their gender identity and/or expression.",,,,,,,,,,,,,,,,,,,,,,,
"MCVAGLY (Merrimack Valley Alliance of Gay, Lesbian, Bisexual, and Transgender Youth)",Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,www.mcvagly.org,190 Academy Road,,North Andover,MA,01845,Essex,,Tad,tjbickford@comcast.net,Amy,morgnsgrl@comcast.net,LGBTQ youth,ally,,,"McVAGLY aims to provide LGBT youth from the Merrimack Valley a safe environment to gather weekly to discuss issues that may not be adequately addressed elsewhere. These issues may include coming out, safe sex, the effectiveness of high school and middle school GSA's, suicide, and GLBT rights in the community.",,,,,,,,,,,,,,,,,,,,,,,
"Melissa Johnson, Pioneer Valley Plastic Surgery",Health and Mental Health,Other Specialist: Plastic Surgery,,,,,Health Care,,,,,Other Health Care Provider Services,,,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://www.pioneervalleyplasticsurgery.com/,100 Wason Ave,Suite 360,Springfield,MA,01107,Hampden,413-731-7877,Melissa Johnson,,,,LGBTQ youth,transgender youth,,,"As a physician and surgeon, it is my professional aspiration to advance patient awareness, education, and access to resources that will enhance care and improve outcomes. In my practice I carefully focus on providing doctor-patient communication that is thorough, honest, never rushed, and encompasses the full spectrum of management from initial consultation, to risk assessment, to pre- and post-surgical care.","Provides plastic surgery, including FTM and MTF top surgery",,,,,,,,,,,,,,,,,,,,,,
Men's Resource Center for Change,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.mrcforchange.org,,,Amherst,MA,01004,Hampshire,413-253-9887,,mrc@mrcforchange.org,,,LGBTQ youth,,,,"The mission of the Men's Resource Center for Change is to support men in developing healthy self-awareness and meaningful personal relationships with women, children and other men that move beyond the limits of masculine stereotypes and social patterns that have divided men historically.",,,,,,,,,,,,,,,,,,,,,,,
Metro Southeast Gay and Lesbian Youth,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,,Was this replaced by BRAGLY?,,,Brockton,MA,,Plymouth,(508) 583-2350,Lisa Marshall/Heidi Holland/Rob Lamarche,,Clubhouse,,,,,,,NO WEBSITE AVAILABLE THAT I CAN FIND,,,,,,,,,,,,,,,,,,,,,,
MissionSafe,Community Group,Job Development and Placement,,,,,Para-professional support services,Employment,,,,"Para-professional Counseling, Therapy, and Support",Job Development and Placement,,,,,,Clubhouse,,,http://www.missionsafe.org/home.asp,,,Roxbury,MA,02120 ,Suffolk,617-427-0377,,mailto:info@missionsafe.org,,,LGBTQ youth,,,11-24,"MissionSAFE works with highly and proven at-risk youth and young adults from challenged situations and communities, working with them to gain the skills and confidence they need to succeed and thrive, not merely survive, and to be agents for positive change in their communities and the larger world.",,,,,,,,,,,,,,,,,,,,,,,
MissionSafe,Community Group,Job Development and Placement,,,,,Para-professional support services,Employment,,,,"Para-professional Counseling, Therapy, and Support",Job Development and Placement,,,,,,Clubhouse,,,http://www.missionsafe.org/home.asp,,,Charlestown,MA,02129 ,Suffolk,617-427-0377,,mailto:info@missionsafe.org,,,LGBTQ youth,,,11-24,"MissionSAFE works with highly and proven at-risk youth and young adults from challenged situations and communities, working with them to gain the skills and confidence they need to succeed and thrive, not merely survive, and to be agents for positive change in their communities and the larger world.",,,,,,,,,,,,,,,,,,,,,,,
More than Words,Community Group,Job Development and Placement,,,,,Employment,,,,,Job Development and Placement,,,,,,,"Education, Vocational and Skills Training",,,http://mtwyouth.org/,376 Moody St.,2nd Floor,Waltham,MA, 02453,Middlesex,617-674-5550,SAME PHONE,mailto:info@mtwyouth.org,,,LGBTQ youth,,,,"More Than Words is a nonprofit social enterprise that empowers youth who are in the foster care system, court involved, homeless, or out of school to take charge of their lives by taking charge of a business",Bookstore run by kids for development of entrprenerial skills,,,,,,,,,,,,,,,,,,,,,,
More than Words,Community Group,Job Development and Placement,,,,,Employment,,,,,Job Development and Placement,,,,,,,"Education, Vocational and Skills Training",,,http://mtwyouth.org/,242 East Berkeley St.,2nd Floor,South End,MA,02118,Suffolk,617-674-5550,,mailto:info@mtwyouth.org,,,LGBTQ youth,,,,"More Than Words is a nonprofit social enterprise that empowers youth who are in the foster care system, court involved, homeless, or out of school to take charge of their lives by taking charge of a business",Bookstore run by kids for development of entrprenerial skills,,,,,,,,,,,,,,,,,,,,,,
Mount Tom Center for Mental Health and Recovery,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Health Care,Behavioral Health Services,,,,Psychiatric Services,Behavioral Counseling,Clinical Counseling,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://bhninc.org/content/mt-tom-center-mental-health-recovery,40 Bobola Road,,Holyoke,MA,01040,Hampden,413-536-5473,,,,,LGBTQ youth,,,,Mount Tom Center for Mental Health and Recovery is a community based licensed outpatient mental health and substance abuse program providing on-site and outreach services to the community,,,,,,,,,,,,,,,,,,,,,,,
Mount Tom City Clinic,Health and Mental Health,Substance Abuse Services,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Health Care,Behavioral Health Services,,,,Psychiatric Services,Behavioral Counseling,Clinical Counseling,Substance Abuse Services,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://bhninc.org/content/mt-tom-city-clinic,230 Maple Street,,Holyoke,MA,01040,Hampden,413-532-0389,,,,,LGBTQ youth,,,,"City Clinic is a community-based outpatient program providing bilingual (English/Spanish) culturally competent services to the Holyoke community. Our bilingual Master’s and  Doctoral level Clinicians, Nurses, and Psychiatrists provide assessment and treatment to clients dealing with a wide range of mental health and substance abuse issues.",,,,,,,,,,,,,,,,,,,,,,,
Multicultural AIDS Coalition,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",Awareness and Advocacy,,,,Support Services,Awareness,,,,"Para-professional Counseling, Therapy, and Support","Community Outreach, Education, and Engagement",,,,,,Clinical and Medical Diagnostics,,,http://www.mac-boston.org/,31 Heath Street,,Jamaica Plain,MA,02130,Suffolk,617-442-1622,Executive Director Gary Daffin,gdaffin@mac-boston.org,,,LGBTQ youth,HIV/AIDS affected/infected individual,,,"We work to ensure high quality, accessible prevention and treatment services for people living with HIV, at high risk for becoming infected, or closely affected by the disease.  We also support broader community efforts to eradicate conditions that fuel the epidemic, including substance abuse, lack of health care access, homelessness, incarceration and oppression based on race, ethnicity, gender and sexual orientation.",,,,,,,,,,,,,,,,,,,,,,,
Nantucket AIDS Network,Health and Mental Health,Sexual Health,Case Management,"Counseling, Therapy, Psychological and Psychiatric Services",Primary Care Services,,Parap-professional support Services, Health Care,,,,Case Managementnull,Clinical Counseling,Primary Care Services,Other Health Care Provider Services,,,,Case Management,,,http://www.nantucketaids.org/home.php,35 Old South Road,,Nantucket,MA,02554,Nantucket,"www.nantucketaids.org, (508) 228-3955, francesca@nantucketaids.org",Francesca Ifantiedes,francesca@nantucketaids.org,Libby Maynes,libby@nantucketaids.org,LGBTQ youth,Individuals Living with HIV/AIDS,Individuals living with Hepatitis C,,"The Nantucket AIDS Network (NAN) was founded in 1989. Since that time, NAN has remained committed to providing compassion and care for persons living with HIV/AIDS and/or Hepatitis C, as well as providing prevention, education and awareness to the Nantucket community.",,,,,,,,,,,,,,,,,,,,,,,
National Gay and Lesbian Task Force,,,,,,,Support Services,,,,,,,,,,,,"Community Prevention, Education and Outreach",,,http://www.thetaskforce.org/issues/youth,1151 Massachusetts Ave,,Cambridge,MA,02138,Middlesex,202.393.5177,,,,,LGBTQ youth,,,,"The mission of the National Gay and Lesbian Task Force is to build the grassroots power of the lesbian, gay, bisexual and transgender (LGBT) community. We do this by training activists, equipping state and local organizations with the skills needed to organize broad-based campaigns to defeat anti-LGBT referenda and advance pro-LGBT legislation, and building the organizational capacity of our movement. ",NEED TO VERIFY THAT THIS IS A STATE SERVICE,,,,,,,,,,,,,,,,,,,,,,
New Bedford Alliance for Gay and Lesbian Youth (NB-AGLY),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,,http://aperfectplace.org/,484 Pleasant Street,,New Bedford,MA,02740,Bristol,508.994.4521 x105,,nbagly@gmail.com,Clubhouse,,,14-24,,,"We are a community based LGBTQ youth organization, located in New Bedford, MA. Here youth between the ages of 14-24 come together to support each other and talk about issues affecting LGBTQ youth and their allies. We have drop-in hours every Thursday evening from 5-7. Our center has become our home, our ""Perfect Place."" Come check us out!",,,,,,,,,,,,,,,,,,,,,,,
"NOHO Pride, Inc",Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Education, Vocational and Skills Training",,,http://www.site.nohopride.org/LGBT_Scholarship.html,,,Northampton,MA,01061,Hampshire,413-586-5602,,,,,LGBTQ youth applying to college,,,,"To foster events that honor the integrity, history and diversity of our Lesbian, Gay, Bisexual, Transgender community and to focus on education, awareness, and unity among LGBT/allied communities.",,,,,,,,,,,,,,,,,,,,,,,
North Shore Alliance of Gay and Lesbian Youth (NAGLY),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.nagly.org/,211 Bridge Street,,Salem,MA,01970,Essex,617-927-6088,Coco Alinsug,naglyleaders@gmail.com,,,LGBTQ youth,,,,"nAGLY's mission is to create, sustain and advocate for programs, policies, and services for the lesbian/gay/bisexual/transgender youth community, particularly including the establishment of regular support meetings, and to defend and enhance the human and civil rights of lesbian, gay, bisexual and transgender youth on the North Shore of Massachusetts.",,,,,,,,,,,,,,,,,,,,,,,
One Gordon (at Gordon College),Higher Education Organization,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,https://www.facebook.com/OneGordonLGBTQ,,,Wenham,MA,01984,Essex,,Paul Miller,mailto:paulolanmiller@gmail.com,,,LGBTQ youth,,,college student,"OneGordon is a community of LGBTQ and allied Gordon College alumni, students, faculty, and staff committed to affirming and supporting people of all sexual orientations, gender identities, and gender expressions. We strive to open up dialogue, share resources, and nurture greater participation in community.",,,,,,,,,,,,,,,,,,,,,,,
Out Now,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education, and Outreach",Child/Adolescent Community Based Social Skills and Recreation,,http://outnowyouth.org/who-we-are-2/our-home/,32 Hampden St,,Springfield,MA,01103,Hampden,"413-736-4610

outnow@comcast.net",Holly Richardson,,,,LGBTQ youth,,,,"Out Now originated in 1995 as a weekly support group for LGTB youth from the greater Springfield area. Since then, Out Now has grown its youth membership, added advisors, and increased visibility, become a nonprofit, and now holds an important voice in the local movement for peace and justice.",,,,,,,,,,,,,,,,,,,,,,,
"Pat Jenkins, LICSW",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,http://patriciajenkinstherapy.com/,16 Center St.,,Northampton,MA,01060,Hampshire,413-584-2590,,,,,LGBTQ youth,,,,"Patricia Jenkins MSW LICSW works as a psychotherapist in Northampton, MA.  She provides psychotherapy to adults, adolescents, children, couples and families.  Patricia also offers group therapy for adults who are dealing with specific issues.",,,,,,,,,,,,,,,,,,,,,,,
Peer Listening Line (Fenway Health),Community Group,Hotline Services,,,,,Awareness,,,,,Hotline services,,,,,,,Hotline Support,,,http://www.fenwayhealth.org/site/PageServer?pagename=FCHC_srv_services_tollfree,,,,MA,,,"1-800-399-PEER/1-800-399-7337, www.fenwayhealth.org",,,,,LGBTQ youth,,,under 25,"Fenway Health’s Lesbian, Gay, Bisexual and Transgender Helpline and The Peer Listening Line are anonymous and confidential phone lines that offer gay, lesbian, bisexual and transgender adults and youths a “safe place” to call for information, referrals, and support. In addition to issues like coming out, HIV/AIDS, safer sex and relationships, our trained volunteers also address topics such as locating LGBT groups and services in their local area.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG Amherst,Community Group,Awareness and Advocacy,,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,,,,Amherst,MA,01004,Hampshire,413-586-2111,,,,,LGBTQ youth,parent,ally,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG Cape Cod,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://www.pflagcapecod.org/,11 Anthony Drive,,Orleans,MA,02653,Barnstable,508-737-5832,,,,,LGBTQ youth,parent,ally,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG Franklin-Hampshire,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://community.pflag.org/page.aspx?pid=803,53 Elm Street,,Shellbourne Falls,MA,01370,Franklin,(413)-625-6636,,jcmalinski48@gmail.com,,,parent of LGBTQ youth,ally,,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG Lee/ Berkshire,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,,,,,MA,,Berkshire,"mailto:mssenn29@gmail.com,%20(413)%20243-2382",,mssenn29@gmail.com,,,parent,ally,LGBTQ youth,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG Northampton,Community Group,Awareness and Advocacy,Higher Education Organization,,,,Awareness,,,,,"Community Outreach, Education, and Engagement",,,,,,,"Community Prevention, Education and Outreach",,,,320 Riverside Drive,"Highland Valley Elder Services, Cutlery Building",Northampton,MA,01062,Hampshire,413 625-6636,,jcmalinski48@gmail.com,,,LGBTQ youth,parent,ally,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
PFLAG of Greater Worcester,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education and Outreach",,,http://www.worcesterpflag.org/index.html,4 Mann Street,,Worcester,MA,01602,Worcester,508-631-2699,Laura Farnsworth,pflagworcester@iname.com,,,parent,family,LGBTQ youth,,"PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.",,,,,,,,,,,,,,,,,,,,,,,
Pioneer Valley LGBTQ Women's Meetup Group,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.meetup.com/pioneervalleywomen/,,,Easthampton,MA,01027,Hampshire,http://www.meetup.com/pioneervalleywomen/,,,,,LGBTQ youth,,,,The purpose of this group is to build community for LGBTQ women in the greater Pioneer Valley area.,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Valley UniTy,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",Higher Education Organization,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Community Prevention, Education, and Outreach",,,http://groups.yahoo.com/group/unity-of-the-pioneer-valley/,3300 Main Street,,Springfield,MA,01199,Hampden,"413-231-8834, 860-604-6343",Keri; Deja,,,,LGBTQ youth,transgender youth,parent,ally,"This group is open to people who identify as transgender, as well as their allies, friends, significant others and family members. We are an inclusive group, and very much welcome supportive people from the larger GLBT community.",,,,,,,,,,,,,,,,,,,,,,,
PRIDE Berkshire Community College,Higher Education Organization,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.facebook.com/pages/Pride-BCC/295380640479573,1350 West Street,,Pittsfield,MA,01201,Berkshire,(413) 236-1625,,pcookson@berkshirecc.edu,,,"LGBTQ BCC students, faculty and staff",,,,"PRIDE is a club at Berkshire Community College that provides support and provides programming for GLBTQ students, faculty, staff and their allies (friends).",,,,,,,,,,,,,,,,,,,,,,,
Project Hip Hop,Community Group,Awareness and Advocacy,,,,,Para-Professional Support Services,Awareness,,,,Recreation services,"Community Outreach, Education, and Engagement",,,,,,"Community Prevention, Education and Outreach",,,http://www.projecthiphop.org/,2181 Washington Street,Suite 315,Roxbury,MA,02119,Suffolk,(617) 427-7950,,info@projecthiphop.org,,,youth interested in hip hop,,,,"Project HIP-HOP (Highways Into the Past – History, Organizing and Power) is a youth-led organization that works at the intersection of arts and organizing. Our mission is to teach the hip hop generation how to use hip hop as a cultural tool to educate and motivate our community.",,,,,,,,,,,,,,,,,,,,,,,
Reflect and Strengthen,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.reflectandstrengthen.org/,614 Columbia Road,,Dorcester,MA,02125,Suffolk,617.442.2355,,rands@reflectandstrengthen.org,,,LGBTQ youth,,,14-30,"Reflect and Strengthen (R&S) is a grassroots collective of young working class women from the urban neighborhoods of Boston who take a holistic approach to organizing to create personal and social transformation. Our programming focuses are political education, healing form trauma, creative expression, community building and campaign work to end racial disparities in the juvenile justice system.",,,,,,,,,,,,,,,,,,,,,,,
Resource Center for Gender and Sexuality,Higher Education Organization,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Education, Vocational and Skills Training",,,http://www.smith.edu/ose/rcsg.php,7 College Lane,Wesley House,Northampton,MA,01063,Hampshire,(413) 585-6014,,RCSG@smith.edu,,,LGBTQ youth,,,college,"The Resource Center for Sexuality & Gender (RCSG) seeks to contribute to understanding of the diverse meanings and expressions of sexuality and gender, and the intersection of sexuality, gender, class and race (as well as other social identities).",,,,,,,,,,,,,,,,,,,,,,,
Roxbury Village (Home for Little Wanderers),Housing and Shelter Services,,,,,,Placement Services,,,,,Placement Services and Supports,,,,,,,Child/Adolescent Community Based Social Skills and Recreation,,,http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo,,,Roxbury,MA,02119,Suffolk,617-267-3700,,,,,LGBTQ youth,,,18-22,"Roxbury Village is an innovative program of The Home for Little Wanderers that serves young adults (ages 18-22) in Boston who are homeless or about to be discharged from state systems of care and are at risk of being homeless. Roxbury Village offers stable and affordable housing, as well as intensive services, support and community connections to help build the skills and resources that will put these young people on a path to becoming successful, contributing members of society. ",,,,,,,,,,,,,,,,,,,,,,,
Roxbury Youthworks—Gaining Independence for Tomorrow Program (GIFT),Community Group,,,,,,Para-professional support services,,,,,Individual advocacy services,,,,,,,Clubhouse,,,http://www.roxburyyouthworks.org/,,,Dorcester,MA,02124,Suffolk,617-427-8095,,mailto:ctoledo@roxburyyouthworks.org,,,LGBTQ youth,,,12-21,Roxbury Youthworks provides intensive Life Coaching to victims of commercial sexual exploitation. - See more at: http://www.roxburyyouthworks.org/pages/giftprogram.html#sthash.ccobZnTF.dpuf,,,,,,,,,,,,,,,,,,,,,,,
