Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Massachusetts Alliance of Portuguese Speakers (MAPS)	Physical Health		Health and Mental Health	Domestic Violence Services 	HIV and AIDS Services				Health Care	Support Services												maps-inc.org	697 Cambridge Street	Suite 203	Brighton	MA	02135	Suffolk	(617) 787-0557					POC					To improve the lives of Portuguese-speaking individuals and families from Massachusetts and help them become contributing, active participants in American society while maintaining strong ethnic identity and a sense of community.				
Massachusetts Alliance of Portuguese Speakers (MAPS)	Physical Health		Health and Mental Health	Domestic Violence Services 	HIV and AIDS Services				Health Care	Support Services												maps-inc.org	1 Stoughton Street		Dorchester	MA	02125	Suffolk	(617) 825-5897					POC					To improve the lives of Portuguese-speaking individuals and families from Massachusetts and help them become contributing, active participants in American society while maintaining strong ethnic identity and a sense of community.				
Massachusetts Alliance of Portuguese Speakers (MAPS)	Physical Health		Health and Mental Health	Domestic Violence Services 	HIV and AIDS Services				Health Care	Support Services												maps-inc.org	24 Union Avenue	Suites 8 & 10	Framingham	MA	01702	Middlesex	(508) 872-2652					POC					To improve the lives of Portuguese-speaking individuals and families from Massachusetts and help them become contributing, active participants in American society while maintaining strong ethnic identity and a sense of community.				
Massachusetts Alliance of Portuguese Speakers (MAPS)	Physical Health		Health and Mental Health	Domestic Violence Services 	HIV and AIDS Services				Health Care	Support Services												maps-inc.org	11 Mill Street		Lowell	MA	01852	Middlesex	(978) 970-1250					POC					To improve the lives of Portuguese-speaking individuals and families from Massachusetts and help them become contributing, active participants in American society while maintaining strong ethnic identity and a sense of community.				
Massachusetts Alliance of Portuguese Speakers (MAPS)	Physical Health		Health and Mental Health	Domestic Violence Services 	HIV and AIDS Services				Health Care	Support Services												maps-inc.org	92 Union Square		Somerville	MA	02143	Middlesex	(617) 764-2091										To improve the lives of Portuguese-speaking individuals and families from Massachusetts and help them become contributing, active participants in American society while maintaining strong ethnic identity and a sense of community.				
Massachusetts Commission Against Discrimination - Springfield	Legal		Legal Services						Other Professional Services			Legal Services							Legal Protective Services			http://www.mass.gov/mcad/index.html	436 Dwight Street	Suite 315	Springfield	MA	01103	Hampden	(413) 739-2145					LGBTQ					Receives discrimination complaints regarding housing, education, public accommodation, employment, and hate crimes				
Massachusetts Commission Against Discrimination - Worcester	Legal		Legal Services						Other Professional Services			Legal Services										http://www.mass.gov/mcad/index.html	455 Main Street	1st Floor, Room 101	Worcester	MA		Worcester	(508) 799-8010														
Massachusetts Gay and Lesbian Political Caucus	Training & Advocacy		Awareness and Advocacy	Legal Services								Awareness and Advocacy										https://www.facebook.com/mglpc.org	11 Beacon Street	Suite 430	Boston	MA	02108	Suffolk	(617) 248-0776 					LGBTQ					MGLPC is the most experienced and respected lobbying operation on Beacon Hill working for lesbian, gay, bisexual and transgender equal rights. For nearly 40 years, MGLPC has enjoyed enormous success advocating with professional lobbyists for the interests and needs of the LGBT community. 				
Maury Abrams, M.S.W. 	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services	Substance Abuse Services				Health Care	 Behavioral Health Services													15 Conz Street	Suite 3	Northampton	MA	01060	Hampshire	(413) 387-5305					Transgender									
Melissa Johnson, Pioneer Valley Plastic Surgery	Physical Health		Health and Mental Health	Other Specialist: Plastic Surgery					Health Care			Other Health Care Provider Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.pioneervalleyplasticsurgery.com/	100 Wason Avenue	Suite 360	Springfield	MA	01107	Hampden	(413) 731-7877	Melissa Johnson				LGBTQ	Transgender				As a physician and surgeon, it is my professional aspiration to advance patient awareness, education, and access to resources that will enhance care and improve outcomes. In my practice I carefully focus on providing doctor-patient communication that is thorough, honest, never rushed, and encompasses the full spectrum of management from initial consultation, to risk assessment, to pre- and post-surgical care.				Provides plastic surgery, including FTM and MTF top surgery
Metro Southeast Gay and Lesbian Youth	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support								LGBTQ youth		Was this replaced by BRAGLY?			Brockton	MA		Plymouth	(508) 583-2350	Lisa Marshall/Heidi Holland/Rob Lamarche													
Mick Rehrig, LSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services													130 Boylston Street		Boston	MA	02116	Suffolk	(617) 457-8140					Transgender									
Mount Tom Center for Mental Health and Recovery	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services		Psychiatric Services	Behavioral Counseling	Clinical Counseling					Clinical and Medical Counseling, Therapy, and Treatment			http://bhninc.org/content/mt-tom-center-mental-health-recovery	40 Bobola Road		Holyoke	MA	01040	Hampden	(413) 536-5473					LGBTQ					Mount Tom Center for Mental Health and Recovery is a community based licensed outpatient mental health and substance abuse program providing on-site and outreach services to the community				
Mount Tom City Clinic	Mental Health		Health and Mental Health	Substance Abuse Services	Counseling, Therapy, Psychological and Psychiatric Services				Health Care	Behavioral Health Services		Psychiatric Services	Behavioral Counseling	Clinical Counseling	Substance Abuse Services				Clinical and Medical Counseling, Therapy, and Treatment			http://bhninc.org/content/mt-tom-city-clinic	230 Maple Street		Holyoke	MA	01040	Hampden	(413) 532-0389					LGBTQ					City Clinic is a community-based outpatient program providing bilingual (English/Spanish) culturally competent services to the Holyoke community. Our bilingual Master’s and  Doctoral level Clinicians, Nurses, and Psychiatrists provide assessment and treatment to clients dealing with a wide range of mental health and substance abuse issues.				
Nancy E. Kirk, M.S.W. 	Mental  Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													 247 Northampton Street 	Suite #14	Easthampton	MA	01027	Hampshire	(413) 259-5872  					Transgender			12						
National Gay and Lesbian Task Force	Training & Advocacy								Support Services										Community Prevention, Education and Outreach			http://www.thetaskforce.org/issues/youth	1151 Massachusetts Avenue		Cambridge	MA	02138	Middlesex	(202) 393-5177					LGBTQ					The mission of the National Gay and Lesbian Task Force is to build the grassroots power of the lesbian, gay, bisexual and transgender (LGBT) community. We do this by training activists, equipping state and local organizations with the skills needed to organize broad-based campaigns to defeat anti-LGBT referenda and advance pro-LGBT legislation, and building the organizational capacity of our movement. 				
NOHO Pride, Inc	Training & Advocacy		Community Group	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Education, Vocational and Skills Training			http://www.site.nohopride.org/LGBT_Scholarship.html			Northampton	MA	01061	Hampshire	(413) 586-5602					LGBTQ					To foster events that honor the integrity, history and diversity of our Lesbian, Gay, Bisexual, Transgender community and to focus on education, awareness, and unity among LGBT/allied communities.				
North Shore Health Project	Physical Health		Health and Mental Health	HIV and AIDS Services	Drop-in Center				Health Care	Support Services	Basic Support	Case Management										http://healthproject.org/index.htm	5 Center Street		Gloucester	MA	01930	Essex	(978) 283-0101										Promoting wellness in people living with HIV/ AIDS and Hepatitis C by providing free holistic health care, support services, information and outreach in a safe, caring and confidential environment.				
Pat Jenkins, LICSW	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling	Behavioral Counseling	Other Professional Counseling and Therapy					Clinical and Medical Counseling, Therapy, and Treatment			http://patriciajenkinstherapy.com/	16 Center Street	Ste 503	Northampton	MA	01060	Hampshire	(413) 584-2590					LGBTQ					Patricia Jenkins MSW LICSW works as a psychotherapist in Northampton, MA.  She provides psychotherapy to adults, adolescents, children, couples and families.  Patricia also offers group therapy for adults who are dealing with specific issues.				
PFLAG Amherst	Community & Social Support		Community Group	Awareness and Advocacy	Education, Training, and Employment				Awareness			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach						Amherst	MA	01004	Hampshire	(413) 586-2111					LGBTQ	Family	Allies			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
PFLAG Concord/Minuteman	Community & Social Support		Community Group	Education, Training, and Employment	Education, Training, and Employment				Para-professional Support Services			Para-professional Counseling, Therapy and Support	Community Outreach, Education and Engagement						Community Prevention, Education and Outreach				P.O. Box 344		Stow	MA	01775	Middlesex	(781) 891-5966					Family	Allies	LGBTQ			PFLAG supports LGBT people, their families and friends locally and nationally by providing PFLAG chapter helplines, support group meetings and resources. PFLAG also educates families and communities on sexual orientation, gender identity and LGBT issues. Local PFLAG chapters educate their communities through a variety of projects while PFLAG National continues to provide fair and accurate information about LGBT people, their loved ones, and the unique challenges they face.				
Pioneer Valley LGBTQ Women's Meetup Group	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.meetup.com/pioneervalleywomen/			Easthampton	MA	01027	Hampshire						LGBTQ					The purpose of this group is to build community for LGBTQ women in the greater Pioneer Valley area.				
Pioneer Valley UniTy	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Community Prevention, Education, and Outreach			http://groups.yahoo.com/group/unity-of-the-pioneer-valley/	3300 Main Street		Springfield	MA	01199	Hampden	(413) 231-8834, (860)604-6343	Keri; Deja				LGBTQ	Transgender	Family			This group is open to people who identify as transgender, as well as their allies, friends, significant others and family members. We are an inclusive group, and very much welcome supportive people from the larger GLBT community.				
Planned Parenthood League of Massachusetts	Physical Health		Health and Mental Health	Sexual Health Services	HIV and AIDS services	Screening and Testing			Behavioral Health Services	Health Care	Diagnostics	Other Professional Counseling and Therapy	Primary Care Services	Medical Screening and Testing								www.pplm.org	1055 Commonwealth Avenue		Allston	MA	02215	Suffolk	(617) 616-1660										To protect and promote sexual and reproductive health and freedom of choice by providing clinical services, education and advocacy.				From Help Steps Website
Planned Parenthood Worcester: LGBT Services	Physical Health		Health and Mental Health	Sexual Health Services	HIV and AIDS services	Screening and Testing			Behavioral Health Services	Health Care	Diagnostics	Other Professional Counseling and Therapy	Primary Care Services	Medical Screening and Testing	Medical Screening and Testing							http://www.plannedparenthood.org/health-center/centerDetails.asp?f=2660	470 Pleasant Street		Worcester	MA	01602	Worcester	(800) 258-4448					LGBTQ					Offers education, resoures, and service referrals to the LGBTQ community				
Project Aware - SSTAR Family Healthcare	Physical Health		Health and Mental Health	HIV and AIDS Services	Sexual Health Services				Health Care 			Case Management										http://www.sstar.org/project-aware-hivaids-services/	386 Stanley Street		Fall River	MA	02720	Bristol	(508) 324-3561										Project Aware has been a leader in providing innovative services to people battling HIV/AIDS in the greater Fall River community since 1989. Our integrated medical case management program has led the way in providing quality case management for those living with HIV/AIDS while ensuring the greatest utilization of resources.				
Project Aware - SSTAR Family Healthcare	Physical Health		Health and Mental Health	HIV and AIDS Services	Sexual Health Services				Health Care 			Case Management										http://www.sstar.org/project-aware-hivaids-services/	1010 South Main Street		Fall River	MA	02720	Bristol	(508) 324-3561										Project Aware has been a leader in providing innovative services to people battling HIV/AIDS in the greater Fall River community since 1989. Our integrated medical case management program has led the way in providing quality case management for those living with HIV/AIDS while ensuring the greatest utilization of resources.				
Rachel Katz, N.P. 	Mental Health		Health and Mental Health						Health Care					Primary Care Services									234 Russell Street 	Suite 7 	Hadley	MA	01035 	Hampshire	(413) 586-6020 					Transgender									
Rebecca Shwartz, N.D., L.Ac.  	Mental Health		Health and Mental Health						Health Care					Primary Care Services								www.DrRebeccaShwartz.com 	26 Market Street 		Northampton	MA	 01060 	Hampshire	(413) 341-3364					Transgender									
Rebekah Perks, W.H.N.P., A.N.P. 	Physical Health		Health and Mental Health	Other Specialist: OB/GYN					Health Care					Other Health Care Provider Services								www.bogg.com 	Baystate Ob/Gyn Group, Raymond Medical Center, 470 Granby Road 		South Hadley	MA	01075	Hampshire	(413) 533-7200  					Transgender									
Renée Bennett O'Sullivan, M.D. 	Physical Health		Health and Mental Health	Other Specialist: Plastic Surgery					Health Care					Other Health Care Provider Services								www.osullivanplasticsurgery.com 	O'Sullivan Plastic Surgery, 14 Denton Road 		Wellesley	MA	02482 	Norfolk	(781) 235-1007 					Transgender									
Richard Abelli, LMHC	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services													390 Main Street	Ste 1049	Worcester	MA	01608	Worcester	(508) 341-3379					Transgender									
Roxbury Village (Home for Little Wanderers)	Employment & Housing Services		Housing and Shelter Services						Placement Services			Placement Services and Supports							Child/Adolescent Community Based Social Skills and Recreation			http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo			Roxbury	MA	02119	Suffolk	(617) 267-3700					LGBTQ			18	22	Roxbury Village is an innovative program of The Home for Little Wanderers that serves young adults (ages 18-22) in Boston who are homeless or about to be discharged from state systems of care and are at risk of being homeless. Roxbury Village offers stable and affordable housing, as well as intensive services, support and community connections to help build the skills and resources that will put these young people on a path to becoming successful, contributing members of society. 				
School Street Counseling Institute	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services		Psychiatric Services	Behavioral Counseling	Clinical counseling					Clinical and Medical Counseling, Therapy, and Treatment			http://bhninc.org/content/school-street-counseling	110 Maple Street		Springfield	MA	01105	Hampden	(413) 846-4300					LGBTQ					SSCI provides outpatient psychotherapeutic clinical services to children, families, and adults.  We serve clients with a wide variety of mental health and substance abuse problems.  Our staff includes professional psychologists, social workers, school counselors and psychiatrists.  SSCI offers linguistically and culturally competent services, as our staff offers services in Spanish, Russian, Polish, and Hebrew.				
Sharon Wretzel	Mental Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Individual Primary Care Wellness			http://baystatehealth.com/Baystate/Main+Nav/ch.Find+a+Doctor.Print	11 Wilbraham Road	Mason Sqaure Neighbourhood Health	Springfield	MA	01109	Hampden	(413) 794-3710					LGBTQ									
Shelly Damon 	Physical Health		Health and Mental Health	Other Specialist: Electrolysis					Other Professional Services													www.pioneervalleyderm.com 	 Pioneer Valley Dermatology,29B Cottage Street 		Amherst	MA	01002 	Hampshire	(413) 549-7400 					Transgender									
ShortStop Transitional Housing, Wayside Youth and Family Services	Employment & Housing Services		Housing and Shelter Services	Education, Training, and Employment	Counseling, Therapy, Psychological and Psychiatric Services				Basic Support	Support Services												http://www.waysideyouth.org/shortstop-transitional-housing-co-ed/	116-118 North Street		Somerville	MA	02144	Middlesex	(617) 776-3377										Shortstop is a community-based program that provides housing and transitional care to homeless young adults, ages 18- 22, from the Somerville, Cambridge and Greater Boston areas.  ShortStop offers a variety of services including educational and vocational support services for young people transitioning to adulthood. Shortstop assists each young adult to make a successful transitional to stable permanent living situations by promoting independent living skills in a supportive environment.				
Somerville Homeless Coalition	Employment & Housing Services		Housing and Shelter Services	Case Management					Basic Support	Placement Services		Emergency Placement										http://www.somervillehomelesscoalition.org/	1 Davis Square		Somerville	MA	02144	Middlesex	(617) 623-6111										The mission of the Somerville Homeless Coalition is to provide homeless and near homeless individuals and families with individualized supportive services and tailored housing solutions with a goal of obtaining and maintaining affordable housing.				
Southcoast Diversity Alliance			Community Group	Faith Based Organization	Counseling, Therapy, Psychological and Psychiatric Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support								LGBTQ youth					New Bedford	MA	02742	Bristol	(508) 996-3147														
Southern Jamaica Plain Health Centers	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Clinical and Medical Counseling, Therapy, and Treatment			http://www.brighamandwomens.org/Departments_and_Services/medicine/services/primarycare/sjphc/default.aspx	640 Centre Street		Jamaica Plain	MA	02130	Suffolk	(617) 983-4100					LGBTQ					Southern Jamaica Plain Health Center is a community health center licensed by Brigham and Women's Hospital.				
SpeakOUT	Training & Advocacy		Education, Training, and Employment	Awareness and Advocacy					Training and Educational Acitivites													speakoutboston.org	284 Amory Street		Jamaica Plain	MA		Suffolk	(877) 223-9390										SpeakOUT works to create a world free of homo-bi-trans-phobia and other forms of prejudice by telling the truths of people’s lives.				
St. Mark's Lutheran Church	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.nesnyod.org	20 Upland Street		Worcester	MA	01607	Worcester	(508) 791-1530														
Stephanie Billings, Holyoke Health Center	Physical Health		Health and Mental Health	Primary Care Services					Health Care			Primary Care Services							Individual Primary Care Wellness			http://www.hhcinc.org/	230 Maple Street		Holyoke	MA	01040	Hampden	(413) 420-2200 x2272	Stephanie Billings				LGBTQ					Our mission at the Holyoke Health Center is to “Improve the health of our patients through affordable, quality health care and comprehensive community-based programs to create a healthy community."				
Stephanie J. Abate, M.S.S.W. 	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													150 Fearing Street	#3	Amherst	MA	 01002	Hampshire	(413) 887-8187					Transgender									
Stuart Chipkin, M.D. 	Physical Health		Health and Mental Health	Other Specialist: Endocrinology					Health Care					Other Health Care Provider Services								www.vmgma.com 	Valley Medical Group, Amherst Medical Center, 31 Hall Drive 		Amherst	MA	01002	Hampshire	(413) 256-8561 					Transgender									
Susan C. Loud, M.Ed.	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services													25 Main Street	#332	Northampton	MA	01060	Hampshire	(413) 585-0689					Transgender									
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	27 Pray Street		Amherst	MA	01002	Hampshire	(413) 548-9992					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	296 Nonotuck Street		Florence	MA	01062	Hampshire	(413) 586-2016					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services	HIV and AIDS Services	Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	777 South Main Street		Great Barrington	MA	01230	Berkshire	(413) 528-4238					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	80 Sanderson Street		Greenfield	MA	01301	Franklin	(413) 773-8888					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	306 Race Street		Holyoke	MA	01040	Hampden	(413) 536-8777					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services	HIV and AIDS Services	Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	77 Hospital Avenue	Suite 210	North Adams	MA	01247	Berkshire	(413) 664-5659					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	16 Center Street	Suite 415	Northampton	MA	01060	Hampshire	(413) 586-2539					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services	HIV and AIDS Services	Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	100 Wendell Avenue		Pittsfield	MA	01201	Berkshire	(413) 443-2844					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	1985 Main Street		Springfield	MA	01103	Hampden	(413) 733-6639					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/	130 Maple Street	Lower Level	Springfield	MA	01103	Hampden	(413) 363-9472					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health Needle Exchange	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/index.php/services/prevention/needle-exchange	15A Main Street		Holyoke	MA	01040	Hampden	(413) 363-9472					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Tapestry Health Needle Exchange	Physical Health		Health and Mental Health	Primary Care Services	Counseling, Therapy, Psychological and Psychiatric Services	Screening and Testing	Sexual Health Services		Health Care	 Behavioral Health Services	Diagnostics	Primary Care Services	Other Health Care Provider Services 	Clinical Counseling	Medical Screening and Testing				Clinical and Medical Counseling, Therapy and Treatment			http://www.tapestryhealth.org/index.php/services/prevention/needle-exchange	16 Center Street	Suite 423	Northampton	MA	01060	Hampshire	(413) 586-0310					LGBTQ					Tapestry Health has delivered family planning and reproductive health services throughout western Massachusetts for almost four decades.				
Temple Emanuel Sinai	Faith Based Organization		Faith Based Organization						Para-Professional Support Services													www.templesinaiworceter.org	661 Salisbury Street		Worcester	MA	01609	Worcester	(508) 755-2519														
The GLUB Club	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse						Monterey	MA	01245	Berkshire	(413) 499-2425					LGBTQ									
The Meeting Point	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	Behavioral Health Services												http://themeetingpoint.org	3464 Washington Street		Jamaica Plain	MA	02130	Suffolk	(508) 308-3242					LGBTQ	Transgender				We are a collaboration of bodyworkers and mental health practitioners. We create safe and inclusive spaces. We promote healing, growth, and empowerment. We provide access to education, connection, and therapeutic support for clients, colleagues, and community members.				
The Network La Red	Mental Health		Community Group	Cultural Competency Training 	Domestic and Sexual Violence Services	Hotline Services			Para-professional Support Services	Awareness		Community Outreach, Education and Engagement	Hotline Services	Case Management				Child/ Adolescent/ Young Adult Short-term Stabilization, Emergency Placement			http://tnlr.org/	http://tnlr.org/			Boston	MA	02114	Suffolk						LGBTQ					The Network/La Red is a survivor-led, social justice organization that works to end partner abuse in lesbian, gay, bisexual, transgender, BDSM, polyamorous, and queer communities. Rooted in anti-oppression principles, our work aims to create a world where all people are free from oppression. We strengthen our communities through organizing, education, and the provision of support services.				
The Triangle Program at Arbour Hospital	Mental Health		Counseling, Therapy, Psychological and Psychiatric Services	Health and Mental Health					Behavioral Health Services	Support Services		Clinical Counseling										http://www.arbourhealth.com/about/programs-for-gay-lesbian-bisexual-and-transgender-individuals/	227 Babcock Street		Brookline	MA	02446	Suffolk	(617) 731-3200										The Triangle Program aims to provide mental health treatment that is sensitive to the issues of gay, lesbian, bisexual and transgender people. Clinically sophisticated evaluation, consultation and intensive daily treatment provide stabilization and support for patients during times of crisis. The Triangle Program provides flexible and personalized treatment schedules and consistently preserves client relationships with outpatient therapists and community support systems.				
The Women's Center	Mental Health		Community Group	Domestic and Sexual Violence Services					Behavioral Health Services			Other Professional Counseling and Therapy										www.cambridgewomenscenter.org	46 Pleasant Street		Cambridge	MA	02139		(617) 354-6394					Transgender					To provide women with the resources and support they need to emerge from conditions of domestic violence, sexual abuse, poverty, discrimination, social isolation, and degradation. To challenge and change the attitudes, actions, and institutions that subjugate women.				From Help Steps Website
Thrive Counseling	Mental Health		Health and Mental Health	Domestic and Sexual Violence Services	Counseling, Therapy, Psychological and Psychiatric Services				Behavioral Health Services			Other Professional Counseling and Therapy	Clinical Counseling									www.thriveboston.com/ Cambridge-Counseling-Therapy.html	872 Massachusetts Avenue	Suite 2-2	Cambridge	MA	02139	Middlesex	(617) 395-5806										The Therapists and Life Coaches at Thrive Counseling in Cambridge, MA provide expert, caring, and compassionate services to their valued clients. In fact, clients report that one of the most helpful things about Thrive is the "strong relationship" they build with their Therapist.				From Help Steps Website
Treehouse Foundation	Employment & Housing Services		Placement Services and Supports	Housing and Shelter Services					Placement Services			Placement Services and Supports							Placement Services and Supports			http://refca.net/home-page	One Treehouse Circle		Easthampton	MA	01027	Hampshire	(413) 527-7966					LGBTQ					The Treehouse Foundation promotes public investment in our most vulnerable children. We seek to inspire, implement and support innovative child welfare practices to ensure children who have experienced foster care find lifelong family relationships in supportive communities, which enable them to lead fulfilling and productive lives. Services include HEROES Youth Leadership program.				
